time[s],setpoint[rad],velocity[rad]
 61.957500,5454.28467,5454.33838
 61.960000,5454.28467,5454.30713
 61.962500,5454.28467,5454.30127
 61.965000,5454.28467,5454.30127
 61.967500,5454.28467,5454.26025
 61.970000,5454.28467,5454.30713
 61.972500,5454.28467,5454.30713
 61.975000,5454.28467,5454.28027
 61.977500,5454.28467,5454.26611
 61.980000,5454.28467,5454.28613
 61.982500,5454.28467,5454.27979
 61.985000,5454.28467,5454.27979
 61.987500,5454.28467,5454.28760
 61.990000,5454.28467,5454.28564
 61.992500,5454.28467,5454.28564
 61.995000,5454.28467,5454.28320
 61.997500,5454.28467,5454.28320
 62.000000,5974.91846,5454.25391
 62.002500,5974.91846,5454.25391
 62.005000,5974.91846,5740.99609
 62.007500,5974.91846,5927.68311
 62.010000,5974.91846,5953.70557
 62.012500,5974.91846,5965.38184
 62.015000,5974.91846,5965.38184
 62.017500,5974.91846,5972.99414
 62.020000,5974.91846,5974.06201
 62.022500,5974.91846,5974.52686
 62.025000,5974.91846,5974.72070
 62.027500,5974.91846,5974.86182
 62.030000,5974.91846,5974.87744
 62.032500,5974.91846,5974.87744
 62.035000,5974.91846,5974.89062
 62.037500,5974.91846,5974.90479
 62.040000,5974.91846,5974.90283
 62.042500,5974.91846,5974.94336
 62.045000,5974.91846,5974.94336
 62.047500,5974.91846,5974.90381
 62.050000,5974.91846,5974.93848
 62.052500,5974.91846,5974.93848
 62.055000,5974.91846,5974.90967
 62.057500,5974.91846,5974.90625
 62.060000,5974.91846,5974.90723
 62.062500,5974.91846,5974.90723
 62.065000,5974.91846,5974.90381
 62.067500,5974.91846,5974.90771
 62.070000,5974.91846,5974.90381
 62.072500,5974.91846,5974.93896
 62.075000,5974.91846,5974.93896
 62.077500,5974.91846,5974.90674
 62.080000,5974.91846,5974.94482
 62.082500,5974.91846,5974.94482
 62.085000,5974.91846,5974.90430
 62.087500,5974.91846,5974.90430
 62.090000,5974.91846,5974.90771
 62.092500,5974.91846,5974.90430
 62.095000,5974.91846,5974.90430
 62.097500,5974.91846,5974.91016
 62.100000,5974.91846,5974.91016
 62.102500,5974.91846,5974.94629
 62.105000,5974.91846,5974.90771
 62.107500,5974.91846,5974.90430
 62.110000,5974.91846,5974.90430
 62.112500,5974.91846,5974.90674
 62.115000,5974.91846,5974.90430
 62.117500,5974.91846,5974.90430
 62.120000,5974.91846,5974.92725
 62.122500,5974.91846,5974.96240
 62.125000,5974.91846,5974.87256
 62.127500,5974.91846,5974.91211
 62.130000,5974.91846,5974.92773
 62.132500,5974.91846,5974.92773
 62.135000,5974.91846,5974.92041
 62.137500,5974.91846,5974.92041
 62.140000,5974.91846,5974.92627
 62.142500,5974.91846,5974.91699
 62.145000,5974.91846,5974.91699
 62.147500,5974.91846,5974.92285
 62.150000,5974.91846,5974.92871
 62.152500,5974.91846,5974.92871
 62.155000,5974.91846,5974.91504
 62.157500,5974.91846,5974.89551
 62.160000,5974.91846,5974.91406
 62.162500,5974.91846,5974.90723
 62.165000,5974.91846,5974.94727
 62.167500,5974.91846,5974.94727
 62.170000,5974.91846,5974.90430
 62.172500,5974.91846,5974.94434
 62.175000,5974.91846,5974.94434
 62.177500,5974.91846,5974.90430
 62.180000,5974.91846,5974.94092
 62.182500,5974.91846,5974.90869
 62.185000,5974.91846,5974.90869
 62.187500,5974.91846,5974.90527
 62.190000,5974.91846,5974.90967
 62.192500,5974.91846,5974.90625
 62.195000,5974.91846,5974.94531
 62.197500,5974.91846,5974.94531
 62.200000,6060.29785,5974.90723
 62.202500,6060.29785,6021.95898
 62.205000,6060.29785,6043.04980
 62.207500,6060.29785,6052.53857
 62.210000,6060.29785,6052.53857
 62.212500,6060.29785,6056.83740
 62.215000,6060.29785,6058.72559
 62.217500,6060.29785,6059.58008
 62.220000,6060.29785,6060.00879
 62.222500,6060.29785,6060.21729
 62.225000,6060.29785,6060.29492
 62.227500,6060.29785,6060.29492
 62.230000,6060.29785,6060.27393
 62.232500,6060.29785,6060.32080
 62.235000,6060.29785,6060.32080
 62.237500,6060.29785,6060.28955
 62.240000,6060.29785,6060.32275
 62.242500,6060.29785,6060.29102
 62.245000,6060.29785,6060.29102
 62.247500,6060.29785,6060.27930
 62.250000,6060.29785,6060.29150
 62.252500,6060.29785,6060.27881
 62.255000,6060.29785,6060.27881
 62.257500,6060.29785,6060.32275
 62.260000,6060.29785,6060.27734
 62.262500,6060.29785,6060.32275
 62.265000,6060.29785,6060.29297
 62.267500,6060.29785,6060.27734
 62.270000,6060.29785,6060.32227
 62.272500,6060.29785,6060.29395
 62.275000,6060.29785,6060.29395
 62.277500,6060.29785,6060.32227
 62.280000,6060.29785,6060.29443
 62.282500,6060.29785,6060.29443
 62.285000,6060.29785,6060.32227
 62.287500,6060.29785,6060.29492
 62.290000,6060.29785,6060.29492
 62.292500,6060.29785,6060.27588
 62.297500,6060.29785,6060.32227
 62.297500,6060.29785,6060.27686
 62.300000,6060.29785,6060.27686
 62.302500,6060.29785,6060.32227
 62.305000,6060.29785,6060.29443
 62.307500,6060.29785,6060.27686
 62.310000,6060.29785,6060.29443
 62.312500,6060.29785,6060.30664
 62.315000,6060.29785,6060.30664
